nana pleas follow thi fake new lie and sue bbc for peddl fals inform hold al,-3,1.0,0,3
pleas who thi and how your law,-1,1.0,0,1
one your accept fat envelop from polit leadership you have automat soil your integr credibil,-1,1.0,0,1
you are deleg ndc thi your post meaningless wale,-1,1.0,0,1
presid receiv the grace god almighti what ha ordain you for jesu mighti name,1,1.0,1,0
1gad cant believ itu are congratul dem npp parti are corrupt,-1,1.0,0,1
pleas may god continu strengthen you more pleas,-2,1.0,0,2
congratul for your smooth and qualiti leadership thi countri,1,1.0,1,0
pleas everyth that will help everyon befor you will leav the battl still the lord,-1,1.0,0,1
rememb that the good peopl have spoken therefor soo,1,1.0,1,0
who jah bless one curs nana akuffo addo you are bless take ghana promis land,2,1.0,2,0
proud npp lover nanaaddoafa npp2021 npphaswon golden ghelect,2,1.0,2,0
the intern commun watch you mother serpent corrupt,-1,1.0,0,1
said better,1,1.0,1,0
pleas pay for million dose asap,-1,1.0,0,1
whi are some you guy be neg here without offer solut ani particularli note problem,-1,1.0,0,1
wat figur did the media hous use project winner the elect,1,1.0,1,0
stupid it highest degre,-1,1.0,0,1
yall quick insult,-1,1.0,0,1
but wa true wa still gonna vote for him bco better bco social interv,1,1.0,1,0
thi artist unjust thi wrong,-2,1.0,0,2
76yr old thief may the blood those innoc soul fight you till die pain death youll surel,-2,1.0,0,2
congratul presid may the 4more you desir transform end make thi great countri what,1,1.0,1,0
what tell you that peopl rwanda know what better for them th,1,1.0,1,0
congratul dear prez may god grace and favor sustain you your new mandat,1,1.0,1,0
congratul dear prez mayb god grace and favor sustain you your new mandat,2,1.0,2,0
the inclus osafo marfo whom mani see one factor the npp were almost lose power,-1,1.0,0,1
these peopl are just fraudstersthey promis deliv good are order from them after do paymentup to,1,1.0,1,0
hope you can also follow the lead,1,1.0,1,0
charl pleas whi get light thi even,-1,1.0,0,1
eii charli thi too hard,-1,1.0,0,1
doesnt even respect the peac pact,1,1.0,1,0
perish dey there cri for yourself,-1,1.0,0,1
mumu these are some the reason whi you need free sh,1,1.0,1,0
that fake,-1,1.0,0,1
get fact right befor spit non6 one sent them there after vote,1,1.0,1,0
ye push up and 300 squat for the boy enjoy,1,1.0,1,0
daddi pleas give direct tri and correct all error claim the ndc with some ir,-2,1.0,0,2
the intern commun doesnt interven then ghana and ghanaian will forev fall victim,-1,1.0,0,1
sad time ghanaian,-1,1.0,0,1
charley bleed 2024 too,-1,1.0,0,1
your mum also ha gbemi aloo edey pain youuuuu,-1,1.0,0,1
respect dear you are too young,1,1.0,1,0
most ndc are mediocr how can two full grown men trick,-1,1.0,0,1
congratul your excel for your reelect into offic for anoth year more hope,1,1.0,1,0
appoint thi slay queen who cant even simpli addit amp subtract jeopard the hard earn,-2,1.0,0,2
ony3 gbemi should court where your stupid ha parad hi poodl kwasia berma,-1,1.0,0,1
the opposit parti bitter becaus their candid lost henc their display stupid under thi post,-1,1.0,0,1
nana congratul we have seen your good work that whi the youth ghana ga vote for,2,1.0,2,0
could remov unwant insult,-1,1.0,0,1
wa asham kill hi own citizen,-1,1.0,0,1
useless statement,-1,1.0,0,1
look thi useless statement you just made,-1,1.0,0,1
congratul presidentelect for hi clear victori wish you great success amp prosper al,4,1.0,4,0
fact dont lie resist and face the consequ it just simpl abcd Cc,-1,1.0,0,1
the win awesom were shame for support but thank god the voic the mass,2,1.0,2,0
sure you know now that ghana 2020 elect for the first time wa flaw,-1,1.0,0,1
the purg cometh joynewspropaganda cheap politick and now manifest yall just lost the touch,-2,1.0,0,2
the ndc parti sef dem come top dem kai ani guy like u wodi3 kosooaa negyimi,1,1.0,1,0
out here do the govern bid and cheap politickingjoypropaganda,-1,1.0,0,1
he corrupt dont hi friend els hell pollut you,-1,1.0,0,1
least have some manner are insult presid under foreign,-1,1.0,0,1
speak right freedom speech but let mind what say you are ask proof can you give,2,1.0,2,0
good question they and all pc the npp were sleep and hide behind free sh they did absolut,2,1.0,2,0
rwandan what know where you deposit thi sum money Mr the corrupt and most crimin,-1,1.0,0,1
social media dey make some koala talk trash paa smh,-1,1.0,0,1
mani thank john mahama accept ghanaian decis have save hi countri such below,1,1.0,1,0
how mani minut dÃ‰â€ºm dey take boil yam,-1,1.0,0,1
dont mind thi foolish korku just write get money from,-1,1.0,0,1
there all perish fool,-2,1.0,0,2
your good friend procur the rig the elect for him but let tell,1,1.0,1,0
violenc everywher west africa not safe,-1,1.0,0,1
